income,debt_ratio,loan_amount,credit_score,defaults,age
57450.71229516849,0.18374129112953488,13453.954614750683,661.5001966901272,0,28
47926.03548243223,0.15228392016720013,11239.217972047085,635.1941667875053,0,61
59715.32807151039,0.4182151247718183,16595.8725520959,677.1939586262906,0,51
72845.44784612038,0.4532378632434506,21702.252230115722,709.0713310056985,0,52
46487.69937914996,0.11579307241282102,5624.137651771278,729.7514732917782,1,22
46487.945645762295,0.5681061231218449,15575.130395737086,672.128847344584,0,49
73688.19223261088,0.1259856418257362,14199.336022166797,679.3501088928283,0,69
61511.52093729363,0.3706481676505352,18356.70038225233,653.6650845576345,0,31
42957.88421097572,0.45453025972545824,16065.983141188446,698.4280414812612,0,48
58138.40065378947,0.5354845618730428,11240.153341305904,657.5785682904593,1,22
43048.734607813065,0.45704346606621393,13404.73032166691,728.65639066206,0,45
43014.05369644615,0.5008640415348959,11019.870715982555,610.7066754032944,0,49
53629.43407349051,0.26972509627140306,20380.03569299299,682.0185163773768,0,28
21300.79633013303,0.5074125568732561,15106.558243359712,715.0553669595871,0,45
24126.23251230451,0.14005742319233758,24505.95342876504,709.1917258161252,0,21
41565.68706138541,0.5474083280302638,14696.695930926897,834.6516831990248,0,22
34807.53319498364,0.3737961880768681,11457.966165447686,717.4900012283954,0,65
54713.709988929106,0.5086488849812468,7431.428036935864,649.7972701578994,1,23
36379.638867181835,0.3261591422591501,5984.301618720274,695.2267876455463,1,44
28815.44447997063,0.4217888475982625,7079.320284972551,611.1876833266774,0,32
71984.7315338233,0.3632013304680566,16335.633255057417,695.9700125351619,0,58
46613.355492701965,0.4657947608776659,17543.62511614967,658.3471971499621,0,63
51012.92307031886,0.1408149910152948,7094.046489839333,745.7695137780081,0,54
28628.77720679815,0.1301760419952819,19475.19157038058,672.5229862702232,0,42
41834.25913212226,0.22355161700507323,12584.694741582804,694.1617042102376,0,28
51663.83884564799,0.17977234005659418,15733.965059927747,668.2221079297798,0,21
32735.09633866546,0.5358917832961009,23061.103141277123,786.9425675926666,0,60
55635.47027518508,0.20960699367902216,19484.19657932766,683.9378616941044,0,63
40990.419651217926,0.5879326279095657,13657.346760470838,791.62785217396,0,50
45624.593753100846,0.2684478958855534,10544.038872923564,740.7075881059134,0,63
40974.40081655905,0.19105895784434965,4240.922993353475,724.1033363667693,0,66
77784.17276763407,0.49484925357123954,11404.233403787899,718.436657365876,0,21
49797.541628930994,0.42935388775043803,13944.348805861528,719.6898649108126,0,51
34134.3360656615,0.34909785822656947,10064.102364244081,603.6163710327195,0,37
62338.173681547836,0.37768177546881565,14343.715164538477,686.0558302924621,0,32
31687.345250434668,0.45960088913613195,15384.259414793842,742.2578985592161,0,65
53132.95392507133,0.21422737066564937,13875.720090959607,697.5551408262947,0,24
20604.948141803365,0.5981669580283709,11749.987095882701,629.7405076598212,0,61
30077.209266523543,0.5873965810733915,15843.273359833638,697.3797774711265,0,63
52952.91853803685,0.4251628431734684,17209.703247847046,785.2052758127745,0,29
61076.99869993116,0.19977122546457257,9548.00461278577,762.3445857767359,0,62
52570.524217849554,0.44011412121564564,22054.66189873135,696.8997995316984,0,44
48265.27576417639,0.13609920448958793,14507.05933857869,747.5724638529043,1,53
45483.444566160666,0.11532625110290304,15094.248114724238,681.6746489815974,1,56
27822.17014448859,0.22884144425560685,18541.072116282787,614.806420658664,0,49
39202.33687407937,0.33131147836965813,16166.080656317508,653.7767005935223,0,26
43090.41843560319,0.5341362527041903,19765.683169566226,778.1444384254099,0,25
65856.83339328374,0.463584534883154,16435.620826009123,686.3003459085348,0,22
55154.27434352692,0.4713532605999905,11937.81312679781,687.830801031249,1,32
23554.39766955899,0.31274666722403766,16807.51762603051,685.008090186256,0,22
